Simulation Run: 20250907_122508
Start Time: 2025-09-07 12:25:08.732428
==================================================

Episode 1: LOST | Length: 830 | Reward: -168.46 | Hero R: -71.31 | Villain R: 97.15
Episode 2: LOST | Length: 214 | Reward: -172.47 | Hero R: -73.98 | Villain R: 98.49
Episode 3: LOST | Length: 569 | Reward: -161.06 | Hero R: -60.04 | Villain R: 101.02
Episode 4: LOST | Length: 694 | Reward: -156.18 | Hero R: -63.12 | Villain R: 93.06
Episode 5: LOST | Length: 358 | Reward: -175.66 | Hero R: -80.44 | Villain R: 95.22
Episode 6: LOST | Length: 812 | Reward: -148.22 | Hero R: -56.81 | Villain R: 91.41
Episode 7: LOST | Length: 550 | Reward: -164.74 | Hero R: -71.16 | Villain R: 93.58
Episode 8: LOST | Length: 330 | Reward: -170.27 | Hero R: -76.85 | Villain R: 93.42
Episode 9: LOST | Length: 803 | Reward: -123.37 | Hero R: -34.91 | Villain R: 88.46
Episode 10: LOST | Length: 1983 | Reward: 104.83 | Hero R: 175.88 | Villain R: 71.06
Episode 11: LOST | Length: 343 | Reward: -152.11 | Hero R: -61.41 | Villain R: 90.70
Episode 12: LOST | Length: 805 | Reward: -111.50 | Hero R: -36.67 | Villain R: 74.83
Episode 13: LOST | Length: 803 | Reward: -105.94 | Hero R: -26.63 | Villain R: 79.31
Episode 14: LOST | Length: 96 | Reward: -179.80 | Hero R: -83.20 | Villain R: 96.60
Episode 15: LOST | Length: 281 | Reward: -150.43 | Hero R: -60.29 | Villain R: 90.14
Episode 16: LOST | Length: 228 | Reward: -142.20 | Hero R: -51.47 | Villain R: 90.73
Episode 17: LOST | Length: 801 | Reward: -71.85 | Hero R: 2.43 | Villain R: 74.28
Episode 18: LOST | Length: 153 | Reward: -169.14 | Hero R: -76.09 | Villain R: 93.05
Episode 19: LOST | Length: 407 | Reward: -116.42 | Hero R: -30.28 | Villain R: 86.14
Episode 20: LOST | Length: 111 | Reward: -173.64 | Hero R: -79.09 | Villain R: 94.55
Episode 21: LOST | Length: 262 | Reward: -148.39 | Hero R: -62.26 | Villain R: 86.13
Episode 22: LOST | Length: 1211 | Reward: 38.96 | Hero R: 78.98 | Villain R: 40.01
Episode 23: LOST | Length: 801 | Reward: -53.19 | Hero R: 13.54 | Villain R: 66.73
Episode 24: LOST | Length: 805 | Reward: -43.36 | Hero R: 15.10 | Villain R: 58.45
Episode 25: LOST | Length: 849 | Reward: 12.72 | Hero R: 65.48 | Villain R: 52.76
Episode 26: LOST | Length: 952 | Reward: 28.83 | Hero R: 69.89 | Villain R: 41.06
Episode 27: LOST | Length: 2971 | Reward: 559.32 | Hero R: 484.88 | Villain R: -74.44
Episode 28: LOST | Length: 801 | Reward: -9.72 | Hero R: 37.52 | Villain R: 47.24
Episode 29: LOST | Length: 649 | Reward: -39.49 | Hero R: 13.68 | Villain R: 53.16
Episode 30: WON | Length: 4758 | Reward: 1443.88 | Hero R: 1013.92 | Villain R: -429.96
Episode 31: LOST | Length: 801 | Reward: 6.73 | Hero R: 47.48 | Villain R: 40.76
Episode 32: LOST | Length: 801 | Reward: 21.41 | Hero R: 57.61 | Villain R: 36.20
Episode 33: WON | Length: 251 | Reward: 303.62 | Hero R: 182.41 | Villain R: -121.21
Episode 34: LOST | Length: 801 | Reward: 27.17 | Hero R: 67.45 | Villain R: 40.28
Episode 35: LOST | Length: 396 | Reward: -76.07 | Hero R: -10.71 | Villain R: 65.36
Episode 36: LOST | Length: 1083 | Reward: 116.48 | Hero R: 124.99 | Villain R: 8.51
Episode 37: LOST | Length: 801 | Reward: 47.93 | Hero R: 77.29 | Villain R: 29.36
Episode 38: LOST | Length: 801 | Reward: 57.22 | Hero R: 81.48 | Villain R: 24.26
Episode 39: WON | Length: 301 | Reward: 328.64 | Hero R: 199.09 | Villain R: -129.55
Episode 40: LOST | Length: 1057 | Reward: 151.85 | Hero R: 149.90 | Villain R: -1.95
Episode 41: LOST | Length: 801 | Reward: 72.76 | Hero R: 93.84 | Villain R: 21.08
Episode 42: LOST | Length: 512 | Reward: -5.23 | Hero R: 39.85 | Villain R: 45.08
Episode 43: LOST | Length: 2843 | Reward: 932.75 | Hero R: 731.50 | Villain R: -201.25
Episode 44: LOST | Length: 801 | Reward: 80.08 | Hero R: 95.39 | Villain R: 15.31
